➜  Bachelor Arbeit LaTex git:(main) ✗ python Code/main.py
####################################################################################################
Training: 1WL+NN: sum
Cross-Validation Split 1/10:
####################################################################################################
Training: 1WL+NN: mean
Cross-Validation Split 1/10:
        Epoch: 50,       Train Loss: -0.02047,   Train Acc: 52.4%,       Val Loss: 0.00293,      Val Acc: 42.7%
        Epoch: 100,      Train Loss: -0.0198,    Train Acc: 52.5%,       Val Loss: 0.00243,      Val Acc: 43.3%
        Epoch: 150,      Train Loss: -0.03299,   Train Acc: 53.9%,       Val Loss: 0.00336,      Val Acc: 40.0%
        Epoch: 200,      Train Loss: -0.04147,   Train Acc: 54.7%,       Val Loss: 0.00309,      Val Acc: 40.0%
        Epoch: 250,      Train Loss: -0.0413,    Train Acc: 54.7%,       Val Loss: 0.00266,      Val Acc: 43.3%
        Epoch: 300,      Train Loss: -0.04179,   Train Acc: 54.4%,       Val Loss: 0.00258,      Val Acc: 43.3%
        Epoch: 350,      Train Loss: -0.04083,   Train Acc: 55.0%,       Val Loss: 0.0029,       Val Acc: 42.0%
        Epoch: 400,      Train Loss: -0.04149,   Train Acc: 54.7%,       Val Loss: 0.00308,      Val Acc: 41.3%
        Epoch: 450,      Train Loss: -0.04472,   Train Acc: 55.3%,       Val Loss: 0.0028,       Val Acc: 43.3%
        Epoch: 500,      Train Loss: -0.04333,   Train Acc: 55.3%,       Val Loss: 0.0031,       Val Acc: 40.7%
Cross-Validation Split 2/10:
        Epoch: 50,       Train Loss: -0.00915,   Train Acc: 51.0%,       Val Loss: 0.00209,      Val Acc: 44.7%
        Epoch: 100,      Train Loss: -0.0259,    Train Acc: 53.0%,       Val Loss: 0.00239,      Val Acc: 46.0%
        Epoch: 150,      Train Loss: -0.03129,   Train Acc: 53.9%,       Val Loss: 0.00227,      Val Acc: 44.0%
        Epoch: 200,      Train Loss: -0.03432,   Train Acc: 54.0%,       Val Loss: 0.00281,      Val Acc: 44.0%
        Epoch: 250,      Train Loss: -0.02822,   Train Acc: 53.3%,       Val Loss: 0.00234,      Val Acc: 45.3%
        Epoch: 300,      Train Loss: -0.02691,   Train Acc: 53.4%,       Val Loss: 0.00203,      Val Acc: 44.7%
